Benchmark,Replacement Type,Cache config,IPC value,Missrate
gcc,LRU,dl2_1024_64_16,0.7698,0.0077
gcc,LRU,dl2_1024_64_32,0.7766,0.0072
gcc,LRU,dl2_1024_64_4,0.6910,0.0151
gcc,LRU,dl2_1024_64_8,0.7458,0.0098
gcc,LRU,dl2_128_64_16,0.5941,0.0269
gcc,LRU,dl2_128_64_32,0.7308,0.0112
gcc,LRU,dl2_128_64_4,0.1295,0.3121
gcc,LRU,dl2_128_64_8,0.3404,0.0895
gcc,LRU,dl2_256_64_16,0.7238,0.0119
gcc,LRU,dl2_256_64_32,0.7467,0.0097
gcc,LRU,dl2_256_64_4,0.2914,0.1122
gcc,LRU,dl2_256_64_8,0.5819,0.0288
gcc,LRU,dl2_32_64_16,0.1692,0.2299
gcc,LRU,dl2_32_64_32,0.3849,0.0737
gcc,LRU,dl2_32_64_4,0.0759,0.5687
gcc,LRU,dl2_32_64_8,0.0912,0.4646
gcc,LRU,dl2_512_64_16,0.7464,0.0097
gcc,LRU,dl2_512_64_32,0.7718,0.0075
gcc,LRU,dl2_512_64_4,0.5345,0.0362
gcc,LRU,dl2_512_64_8,0.7116,0.0130
gcc,LRU,dl2_64_64_16,0.3641,0.0804
gcc,LRU,dl2_64_64_32,0.5972,0.0265
gcc,LRU,dl2_64_64_4,0.0896,0.4745
gcc,LRU,dl2_64_64_8,0.1572,0.2504
gcc,PLRU,dl2_1024_64_16_p_9_12,0.7548,0.0090
gcc,PLRU,dl2_1024_64_32_p_17_24,0.7592,0.0087
gcc,PLRU,dl2_1024_64_4_p_3_3,0.6820,0.0161
gcc,PLRU,dl2_1024_64_8_p_5_6,0.7268,0.0115
gcc,PLRU,dl2_128_64_16_p_9_12,0.5611,0.0325
gcc,PLRU,dl2_128_64_32_p_17_24,0.6429,0.0208
gcc,PLRU,dl2_128_64_4_p_3_3,0.1360,0.2951
gcc,PLRU,dl2_128_64_8_p_5_6,0.3462,0.0876
gcc,PLRU,dl2_256_64_16_p_9_12,0.6659,0.0180
gcc,PLRU,dl2_256_64_32_p_17_24,0.6793,0.0163
gcc,PLRU,dl2_256_64_4_p_3_3,0.2932,0.1119
gcc,PLRU,dl2_256_64_8_p_5_6,0.5616,0.0324
gcc,PLRU,dl2_32_64_16_p_9_12,0.1833,0.2051
gcc,PLRU,dl2_32_64_32_p_17_24,0.3539,0.0834
gcc,PLRU,dl2_32_64_4_p_3_3,0.0752,0.5652
gcc,PLRU,dl2_32_64_8_p_5_6,0.1049,0.3927
gcc,PLRU,dl2_512_64_16_p_9_12,0.7102,0.0131
